Brand,UniqueID,Range (Km),Efficiency (Wh/km),Acceleration (0-100),Battery (kWh),FastCharge (kW),Cargo (L),Price_per_Range (/km),Germany_Price(€),Segment
BMW,3205,525,155,5.6,81.3,130.0,470.0,123.0,60600.0,D - Large
Jeep,1816,310,164,9.0,50.8,79.0,355.0,122.0,38500.0,B - Compact
BMW,2198,430,156,6.0,67.1,95.0,470.0,137.0,57500.0,D - Large
LynkCo,3045,355,175,5.5,62.0,90.0,425.0,99.0,35995.0,C - Medium
MG,1474,335,171,7.7,57.4,60.0,479.0,113.0,38490.0,C - Medium
Volkswagen,3334,475,166,7.1,79.0,135.0,385.0,88.0,44025.0,C - Medium
MG,3147,365,170,6.3,62.1,90.0,453.0,106.0,42990.0,C - Medium
Tesla,3405,555,142,4.4,79.0,125.0,682.0,96.0,50970.0,D - Large
Tesla,3383,590,161,3.2,95.0,140.0,798.0,188.0,110970.0,F - Luxury
BMW,3458,400,163,8.3,65.2,95.0,490.0,122.0,49400.0,C - Medium
Renault,1205,310,168,9.5,52.0,41.0,338.0,117.0,37840.0,B - Compact
Tesla,3384,565,168,2.4,95.0,140.0,798.0,214.0,120970.0,F - Luxury
KGM,2189,370,195,8.1,72.0,85.0,839.0,113.0,41990.0,C - Medium
Mercedes,1984,395,168,8.6,66.5,100.0,340.0,129.0,50777.0,C - Medium
XPENG,3279,465,198,4.2,92.2,330.0,731.0,160.0,72600.0,E - Executive
BYD,3297,350,173,7.0,60.5,75.0,345.0,101.0,34640.0,C - Medium
Kia,1481,410,180,7.3,74.0,196.0,532.0,126.0,51990.0,C - Medium
Polestar,1841,495,190,7.4,94.0,135.0,541.0,133.0,63200.0,E - Executive
Leapmotor,3388,380,216,4.0,81.9,120.0,467.0,118.0,44900.0,D - Large
Hyundai,1718,495,149,7.4,74.0,196.0,446.0,107.0,54000.0,D - Large
Audi,2272,575,165,5.4,94.9,186.0,529.0,138.0,77250.0,E - Executive
Toyota,3400,400,178,7.2,71.0,110.0,600.0,122.0,,D - Large
Volvo,3442,500,182,4.6,91.0,215.0,575.0,135.0,65990.0,D - Large
BMW,1519,450,179,3.9,80.7,112.0,470.0,170.0,70800.0,D - Large
Nissan,1106,235,166,7.9,39.0,40.0,435.0,136.0,29990.0,C - Medium
Hyundai,2235,345,174,8.5,60.0,150.0,577.0,128.0,43900.0,C - Medium
Polestar,1488,390,192,4.7,75.0,97.0,440.0,144.0,54995.0,D - Large
BYD,2094,360,199,9.3,71.8,72.0,552.0,118.0,41990.0,D - Large
Peugeot,2003,380,192,8.8,73.0,90.0,588.0,129.0,48750.0,C - Medium
BMW,3110,525,208,4.6,109.1,150.0,500.0,195.0,99900.0,E - Executive
Peugeot,1947,300,169,9.1,50.8,79.0,434.0,129.0,40550.0,B - Compact
TOGG,3305,490,173,7.5,85.0,115.0,505.0,82.0,40118.0,D - Large
Citroen,1587,290,160,9.7,46.3,74.0,380.0,125.0,34875.0,C - Medium
Citroen,2039,255,172,11.5,43.8,62.0,310.0,96.0,23300.0,B - Compact
Renault,2069,480,181,7.9,87.0,95.0,545.0,100.0,48900.0,C - Medium
XPENG,3432,445,164,6.2,73.0,260.0,573.0,111.0,49600.0,E - Executive
Nissan,1302,450,193,7.6,87.0,80.0,468.0,104.0,53490.0,C - Medium
Tesla,1070,380,191,4.4,72.5,80.0,804.0,216.0,71019.0,F - Luxury
Audi,1209,280,231,6.8,64.7,114.0,722.0,240.0,69100.0,E - Executive
Mercedes,3370,400,145,7.5,58.0,125.0,506.0,122.0,49421.0,D - Large
Tesla,1088,485,196,4.3,95.0,100.0,895.0,223.0,108420.0,F - Luxury
Volkswagen,2214,325,160,8.2,52.0,90.0,385.0,100.0,33330.0,C - Medium
CUPRA,3263,470,168,7.1,79.0,135.0,385.0,92.0,47350.0,C - Medium
CUPRA,1971,445,173,6.8,77.0,120.0,540.0,120.0,56210.0,C - Medium
Audi,2270,600,158,5.4,94.9,186.0,529.0,129.0,75600.0,E - Executive
Skoda,1279,340,171,8.7,58.0,75.0,585.0,129.0,42100.0,C - Medium
BMW,1906,470,173,6.0,81.2,123.0,490.0,166.0,70200.0,E - Executive
Polestar,1487,420,179,7.4,75.0,97.0,440.0,124.0,50995.0,D - Large
Volkswagen,3260,520,165,6.7,86.0,145.0,605.0,116.0,59895.0,E - Executive
Hyundai,1663,385,192,5.1,74.0,196.0,551.0,154.0,59200.0,C - Medium
Ford,2168,435,177,6.4,77.0,120.0,536.0,112.0,48510.0,C - Medium
Mercedes,2192,395,294,4.7,116.0,150.0,555.0,465.0,142622.0,F - Luxury
Tesla,1620,460,163,3.6,75.0,124.0,649.0,130.0,57668.0,D - Large
XPENG,3276,425,188,4.1,80.0,290.0,571.0,128.0,51600.0,D - Large
Citroen,3228,290,184,13.0,53.5,70.0,460.0,101.0,30690.0,B - Compact
Mini,1998,330,149,6.7,49.2,75.0,200.0,117.0,36900.0,B - Compact
Mini,3456,400,163,8.6,65.2,86.0,460.0,94.0,38120.0,C - Medium
BYD,3268,305,190,7.9,58.0,100.0,450.0,130.0,41990.0,B - Compact
Volvo,3128,485,181,6.6,88.0,170.0,468.0,152.0,71990.0,F - Luxury
Tesla,1974,345,165,6.9,57.0,140.0,971.0,139.0,45970.0,D - Large
BMW,1676,510,199,4.7,101.7,149.0,500.0,272.0,139900.0,F - Luxury
Ford,3454,450,176,6.4,79.0,135.0,532.0,103.0,48900.0,C - Medium
XPENG,1821,495,167,6.7,82.7,135.0,440.0,102.0,49600.0,E - Executive
BYD,3194,270,160,12.1,43.2,60.0,308.0,95.0,26990.0,B - Compact
Tesla,1320,350,150,5.6,52.5,95.0,649.0,136.0,45560.0,D - Large
Nissan,1144,345,171,7.3,59.0,44.0,420.0,112.0,37550.0,C - Medium
BYD,3475,400,187,3.9,74.8,130.0,591.0,121.0,,C - Medium
Zeekr,3083,485,198,3.8,96.0,260.0,581.0,134.0,65950.0,D - Large
Audi,2146,480,198,5.9,94.9,186.0,590.0,161.0,74700.0,D - Large
BYD,3102,365,168,7.5,61.4,75.0,453.0,121.0,46990.0,D - Large
Tesla,1089,435,218,4.9,95.0,100.0,,259.0,115000.0,F - Luxury
Hyundai,1717,335,149,8.8,50.0,120.0,446.0,134.0,43900.0,D - Large
Tesla,3331,555,142,4.4,79.0,125.0,682.0,96.0,50970.0,D - Large
KGM,3389,400,198,8.2,79.0,95.0,839.0,103.0,,C - Medium
Hyundai,2044,390,205,3.4,80.0,196.0,480.0,191.0,74900.0,C - Medium
BYD,1784,475,180,3.9,85.4,85.0,410.0,146.0,69020.0,E - Executive
Nissan,1657,340,174,6.9,59.0,44.0,420.0,121.0,41100.0,C - Medium
Mazda,3108,480,162,7.8,78.0,70.0,526.0,97.0,46500.0,D - Large
Volkswagen,1300,350,166,7.3,58.0,75.0,385.0,113.0,38987.0,C - Medium
Opel,3229,290,184,13.0,53.5,70.0,460.0,108.0,31190.0,B - Compact
Tesla,3330,580,136,5.2,79.0,125.0,682.0,83.0,45970.0,D - Large
Toyota,3135,375,184,5.1,69.0,110.0,452.0,142.0,50990.0,C - Medium
BMW,2199,515,158,5.6,81.3,130.0,470.0,124.0,60500.0,D - Large
Peugeot,2005,500,194,8.7,96.9,135.0,588.0,106.0,52850.0,C - Medium
Volkswagen,1831,350,166,7.3,58.0,82.0,385.0,125.0,39995.0,C - Medium
Peugeot,1168,270,171,8.1,46.3,74.0,265.0,119.0,30450.0,B - Compact
Hyundai,1057,190,147,9.9,28.0,65.0,350.0,173.0,33300.0,C - Medium
Mercedes,1985,420,168,8.6,70.5,90.0,340.0,126.0,52205.0,C - Medium
MG,3146,275,171,8.0,47.1,80.0,453.0,127.0,37990.0,C - Medium
Audi,3148,325,182,8.1,59.0,110.0,520.0,148.0,46150.0,C - Medium
Tesla,1976,495,152,5.9,75.0,124.0,649.0,102.0,,D - Large
Peugeot,2149,370,197,9.7,73.0,90.0,348.0,140.0,51250.0,D - Large
Toyota,1564,350,183,7.5,64.0,85.0,452.0,125.0,42900.0,C - Medium
Skoda,3031,310,168,9.0,52.0,90.0,470.0,111.0,33900.0,C - Medium
CUPRA,2128,465,170,5.6,79.0,135.0,385.0,111.0,52870.0,C - Medium
CUPRA,2233,360,164,6.7,59.0,110.0,385.0,107.0,41450.0,C - Medium
Porsche,3398,520,208,4.8,108.0,290.0,871.0,199.0,105200.0,E - Executive
Renault,3132,380,158,7.4,60.0,80.0,440.0,101.0,40990.0,C - Medium
Hyundai,3068,495,214,6.7,106.0,195.0,390.0,160.0,81500.0,F - Luxury
Ford,3446,335,173,8.0,58.0,85.0,532.0,118.0,39900.0,C - Medium
Toyota,1565,345,186,6.9,64.0,85.0,452.0,154.0,50490.0,C - Medium
Nissan,1656,235,166,7.9,39.0,40.0,435.0,134.0,35900.0,C - Medium
Hyundai,1478,370,189,7.4,70.0,179.0,588.0,130.0,45900.0,C - Medium
Polestar,1842,485,194,3.8,94.0,135.0,541.0,152.0,71200.0,E - Executive
Kia,3122,495,158,7.7,78.0,105.0,490.0,92.0,47140.0,C - Medium
Volkswagen,1651,345,223,10.2,77.0,115.0,1.0,183.0,64581.0,N - Passenger Van
MG,1201,220,193,8.2,42.5,50.0,448.0,141.0,31990.0,B - Compact
MG,1524,365,192,7.9,70.0,81.0,507.0,125.0,46990.0,C - Medium
Hyundai,1719,440,168,5.1,74.0,208.0,416.0,135.0,61100.0,D - Large
Kia,1835,435,221,6.0,96.0,196.0,385.0,162.0,68990.0,F - Luxury
Polestar,3151,475,166,6.2,79.0,110.0,448.0,113.0,52690.0,D - Large
Hyundai,2230,255,153,11.7,39.0,60.0,280.0,98.0,23900.0,A - Mini
Tesla,1139,440,167,3.7,73.5,136.0,542.0,145.0,61480.0,D - Large
Skoda,2020,450,171,6.7,77.0,120.0,585.0,112.0,48900.0,C - Medium
XPENG,3402,380,178,6.9,67.8,240.0,571.0,117.0,43600.0,D - Large
Smart,3179,460,209,3.8,96.0,230.0,677.0,133.0,60900.0,D - Large
Volkswagen,1531,350,166,9.6,58.0,75.0,385.0,104.0,35460.0,C - Medium
Subaru,1567,320,200,6.9,64.0,85.0,441.0,175.0,57490.0,C - Medium
Toyota,3393,330,164,8.3,54.0,85.0,416.0,121.0,41990.0,C - Medium
Peugeot,1583,285,162,9.0,46.3,74.0,265.0,129.0,39100.0,B - Compact
Volkswagen,3257,525,164,6.6,86.0,145.0,532.0,113.0,59095.0,E - Executive
Zeekr,3430,515,186,3.3,96.0,260.0,488.0,115.0,60450.0,D - Large
Hyundai,1422,245,160,9.9,39.2,37.0,332.0,149.0,36400.0,B - Compact
BYD,3071,405,204,4.5,82.5,115.0,578.0,138.0,53990.0,D - Large
Dacia,3408,165,145,12.3,24.0,35.0,342.0,108.0,16900.0,A - Mini
Opel,1585,295,157,8.1,46.3,74.0,267.0,127.0,36395.0,B - Compact
Volvo,3159,400,198,7.3,79.0,110.0,441.0,133.0,55490.0,C - Medium
Renault,1270,135,158,12.6,21.3,0.0,174.0,193.0,28000.0,A - Mini
Audi,1770,505,210,5.6,106.0,145.0,631.0,171.0,87300.0,E - Executive
Dacia,3409,160,150,9.6,24.0,35.0,342.0,123.0,18700.0,A - Mini
Citroen,3280,175,170,11.6,29.8,30.0,310.0,119.0,19990.0,B - Compact
Hongqi,1747,370,243,4.9,90.0,112.0,438.0,216.0,,F - Luxury
Volkswagen,2154,390,221,7.9,86.0,145.0,1.0,159.0,62719.0,N - Passenger Van
Kia,3028,455,176,7.3,80.0,205.0,542.0,111.0,49990.0,C - Medium
Hyundai,1662,390,190,7.3,74.0,196.0,584.0,132.0,47900.0,C - Medium
Volvo,3478,275,178,5.7,49.0,80.0,325.0,134.0,,B - Compact
Volkswagen,1650,205,158,11.9,32.3,29.0,250.0,136.0,29995.0,A - Mini
Honda,1940,335,185,7.6,61.9,60.0,361.0,130.0,38990.0,B - Compact
Opel,1792,315,161,9.2,50.8,79.0,352.0,125.0,41990.0,C - Medium
Suzuki,3212,330,181,8.7,59.8,60.0,238.0,111.0,36490.0,B - Compact
Tesla,1063,455,188,4.4,85.5,90.0,895.0,230.0,103320.0,F - Luxury
Opel,1192,285,162,8.1,46.3,74.0,267.0,107.0,29900.0,B - Compact
Honda,1171,170,168,9.0,28.5,31.0,171.0,215.0,33850.0,B - Compact
Mazda,1680,170,176,9.7,30.0,30.0,366.0,212.0,35990.0,C - Medium
Renault,1802,225,200,12.6,45.0,50.0,950.0,159.0,35850.0,N - Passenger Van
Smart,3143,475,202,6.5,96.0,230.0,702.0,118.0,55400.0,D - Large
Audi,1420,415,202,4.1,83.7,200.0,490.0,256.0,106050.0,F - Luxury
Tesla,1034,420,192,4.4,80.8,95.0,895.0,225.0,92800.0,F - Luxury
Tesla,1100,475,155,5.3,73.5,136.0,542.0,114.0,,D - Large
Audi,1491,385,199,6.2,76.6,103.0,520.0,168.0,57900.0,C - Medium
Volkswagen,2152,470,168,5.9,79.0,135.0,385.0,106.0,47225.0,C - Medium
Dacia,1705,165,152,19.1,25.0,29.0,300.0,134.0,22550.0,A - Mini
XPENG,3278,480,192,6.4,92.2,330.0,731.0,135.0,63600.0,E - Executive
Toyota,3395,385,187,5.2,72.0,110.0,416.0,136.0,53990.0,C - Medium
Mercedes,1147,360,185,8.9,66.5,99.0,340.0,144.0,47541.0,C - Medium
BMW,3109,470,202,5.1,94.8,115.0,500.0,182.0,83500.0,E - Executive
Smart,1230,100,167,11.6,16.7,0.0,260.0,241.0,21940.0,A - Mini
Opel,1586,260,178,9.2,46.3,74.0,310.0,154.0,40650.0,B - Compact
MG,1973,425,175,6.5,74.4,110.0,363.0,103.0,45990.0,C - Medium
Mini,1997,250,146,7.3,36.6,60.0,200.0,138.0,32900.0,B - Compact
Polestar,3298,580,183,3.9,106.0,210.0,427.0,197.0,118600.0,F - Luxury
XPENG,1822,460,180,4.1,82.7,135.0,440.0,130.0,58600.0,E - Executive
Polestar,1170,390,192,4.7,75.0,97.0,440.0,150.0,57900.0,D - Large
Volkswagen,1202,350,166,9.6,58.0,75.0,385.0,100.0,34995.0,C - Medium
XPENG,2182,480,182,6.7,87.5,180.0,571.0,104.0,47600.0,D - Large
BYD,3193,190,158,11.1,30.0,45.0,308.0,118.0,22990.0,B - Compact
Tesla,1075,475,200,2.7,95.0,100.0,895.0,311.0,145420.0,F - Luxury
Volkswagen,2232,370,214,7.6,79.0,135.0,1.0,165.0,60892.0,N - Passenger Van
Hyundai,1476,295,183,8.5,54.0,140.0,588.0,162.0,43900.0,C - Medium
Opel,1051,335,173,7.3,58.0,37.0,381.0,115.0,42990.0,B - Compact
Lexus,1677,350,183,5.6,64.0,85.0,522.0,183.0,67890.0,D - Large
Renault,2133,260,154,12.0,40.0,0.0,326.0,94.0,24900.0,B - Compact
Peugeot,2151,485,200,9.6,96.9,135.0,348.0,115.0,55350.0,D - Large
Dacia,2126,165,152,19.1,25.0,29.0,343.0,107.0,16900.0,A - Mini
Tesla,1407,485,196,3.9,95.0,140.0,608.0,242.0,115970.0,F - Luxury
Zeekr,3428,410,176,5.3,72.0,240.0,521.0,117.0,48950.0,D - Large
Nissan,1117,170,218,14.0,37.0,40.0,2.0,248.0,43730.0,N - Passenger Van
Mercedes,1483,635,170,6.2,107.8,169.0,610.0,179.0,109551.0,F - Luxury
Volvo,1911,340,191,3.6,65.0,101.0,325.0,145.0,51690.0,B - Compact
Kia,1471,360,206,3.5,74.0,196.0,500.0,198.0,72990.0,C - Medium
Zeekr,1934,480,196,3.8,94.0,135.0,569.0,140.0,66950.0,E - Executive
Leapmotor,3387,410,200,6.6,81.9,120.0,467.0,103.0,41900.0,D - Large
MG,3418,405,183,7.3,74.3,90.0,798.0,110.0,,C - Medium
Zeekr,1933,505,186,7.2,94.0,135.0,599.0,116.0,60950.0,E - Executive
Audi,3182,540,180,4.0,97.0,267.0,482.0,192.0,108900.0,F - Luxury
Peugeot,1949,315,153,8.2,48.1,76.0,309.0,124.0,40875.0,B - Compact
Opel,2238,240,183,12.1,43.8,62.0,460.0,118.0,28990.0,B - Compact
Volvo,1776,485,221,4.9,107.0,150.0,703.0,213.0,96800.0,F - Luxury
CUPRA,1972,425,181,5.5,77.0,120.0,540.0,144.0,60780.0,C - Medium
Lucid,3292,615,200,3.6,123.0,210.0,1.0,193.0,116900.0,F - Luxury
Renault,2134,260,154,9.0,40.0,55.0,326.0,103.0,27900.0,B - Compact
Ford,2278,480,190,5.9,91.0,115.0,619.0,120.0,58500.0,D - Large
